2025-07-01 11:29:04,381 - Rank 3 - daniel - Generando terreno: 15x80 celdas
2025-07-01 11:29:04,400 - Rank 3 - daniel - Terreno generado exitosamente
2025-07-01 11:29:04,400 - Rank 3 - daniel - Inicializados 2 focos de incendio
2025-07-01 11:29:07,786 - Rank 3 - daniel - Paso 0: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:10,722 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:13,720 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:16,617 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:19,444 - Rank 3 - daniel - Paso 0: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:22,284 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:25,262 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:28,214 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:33,917 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:37,543 - Rank 3 - daniel - Paso 0: 3 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:41,504 - Rank 3 - daniel - Paso 0: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:45,453 - Rank 3 - daniel - Paso 0: 2 nuevos fuegos, 2 extinguidos
2025-07-01 11:29:48,727 - Rank 3 - daniel - Paso 0: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:30:00,741 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 0 extinguidos
2025-07-01 11:30:07,786 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:30:20,385 - Rank 3 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:30:27,114 - Rank 3 - daniel - Paso 0: 2 nuevos fuegos, 2 extinguidos
2025-07-01 11:30:33,975 - Rank 3 - daniel - Paso 0: 3 nuevos fuegos, 3 extinguidos
2025-07-01 11:30:46,901 - Rank 3 - daniel - Paso 0: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:30:53,175 - Rank 3 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:30:59,405 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:31:05,760 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:31:11,816 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:31:23,788 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:31:29,851 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:31:35,958 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 0 extinguidos
2025-07-01 11:31:48,434 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:31:54,773 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:32:00,858 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 2 extinguidos
2025-07-01 11:32:19,778 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 0 extinguidos
2025-07-01 11:32:26,023 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:32:32,170 - Rank 3 - daniel - Paso 0: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:32:39,368 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:32:46,152 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 2 extinguidos
2025-07-01 11:32:52,969 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:33:33,187 - Rank 3 - daniel - Paso 0: 0 nuevos fuegos, 2 extinguidos
