2025-07-01 11:29:04,382 - Rank 2 - daniel - Generando terreno: 15x80 celdas
2025-07-01 11:29:04,399 - Rank 2 - daniel - Terreno generado exitosamente
2025-07-01 11:29:04,399 - Rank 2 - daniel - Inicializados 2 focos de incendio
2025-07-01 11:29:07,783 - Rank 2 - daniel - Paso 0: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:10,721 - Rank 2 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:13,720 - Rank 2 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:22,281 - Rank 2 - daniel - Paso 0: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:25,262 - Rank 2 - daniel - Paso 0: 4 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:28,214 - Rank 2 - daniel - Paso 0: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:31,166 - Rank 2 - daniel - Paso 0: 3 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:33,917 - Rank 2 - daniel - Paso 0: 4 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:37,541 - Rank 2 - daniel - Paso 0: 3 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:41,504 - Rank 2 - daniel - Paso 0: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:45,453 - Rank 2 - daniel - Paso 0: 4 nuevos fuegos, 2 extinguidos
2025-07-01 11:29:48,727 - Rank 2 - daniel - Paso 0: 3 nuevos fuegos, 2 extinguidos
2025-07-01 11:29:54,196 - Rank 2 - daniel - Paso 0: 8 nuevos fuegos, 3 extinguidos
2025-07-01 11:30:00,741 - Rank 2 - daniel - Paso 0: 6 nuevos fuegos, 3 extinguidos
2025-07-01 11:30:07,785 - Rank 2 - daniel - Paso 0: 3 nuevos fuegos, 4 extinguidos
2025-07-01 11:30:13,933 - Rank 2 - daniel - Paso 0: 8 nuevos fuegos, 6 extinguidos
2025-07-01 11:30:20,386 - Rank 2 - daniel - Paso 0: 7 nuevos fuegos, 1 extinguidos
2025-07-01 11:30:27,114 - Rank 2 - daniel - Paso 0: 4 nuevos fuegos, 5 extinguidos
2025-07-01 11:30:33,975 - Rank 2 - daniel - Paso 0: 4 nuevos fuegos, 3 extinguidos
2025-07-01 11:30:40,508 - Rank 2 - daniel - Paso 0: 3 nuevos fuegos, 4 extinguidos
2025-07-01 11:30:46,900 - Rank 2 - daniel - Paso 0: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:30:53,174 - Rank 2 - daniel - Paso 0: 6 nuevos fuegos, 3 extinguidos
2025-07-01 11:30:59,403 - Rank 2 - daniel - Paso 0: 5 nuevos fuegos, 8 extinguidos
2025-07-01 11:31:05,760 - Rank 2 - daniel - Paso 0: 6 nuevos fuegos, 5 extinguidos
