2025-07-01 11:29:04,382 - Rank 0 - daniel - Generando terreno: 15x80 celdas
2025-07-01 11:29:04,399 - Rank 0 - daniel - Terreno generado exitosamente
2025-07-01 11:29:04,399 - Rank 0 - daniel - Inicializados 4 focos de incendio
2025-07-01 11:29:04,521 - Rank 0 - daniel - GUI inicializada, comenzando simulación
2025-07-01 11:29:04,527 - Rank 0 - daniel - Paso 0: 5 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:07,782 - Rank 0 - daniel - Paso 1: 7 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:10,721 - Rank 0 - daniel - Paso 2: 5 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:13,718 - Rank 0 - daniel - Paso 3: 6 nuevos fuegos, 2 extinguidos
2025-07-01 11:29:16,616 - Rank 0 - daniel - Paso 4: 7 nuevos fuegos, 2 extinguidos
2025-07-01 11:29:19,444 - Rank 0 - daniel - Paso 5: 9 nuevos fuegos, 3 extinguidos
2025-07-01 11:29:22,282 - Rank 0 - daniel - Paso 6: 6 nuevos fuegos, 4 extinguidos
2025-07-01 11:29:25,262 - Rank 0 - daniel - Paso 7: 7 nuevos fuegos, 3 extinguidos
2025-07-01 11:29:28,215 - Rank 0 - daniel - Paso 8: 5 nuevos fuegos, 2 extinguidos
2025-07-01 11:29:31,165 - Rank 0 - daniel - Paso 9: 5 nuevos fuegos, 8 extinguidos
2025-07-01 11:29:33,916 - Rank 0 - daniel - Paso 10: 4 nuevos fuegos, 4 extinguidos
2025-07-01 11:29:37,541 - Rank 0 - daniel - Paso 11: 6 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:41,503 - Rank 0 - daniel - Paso 12: 3 nuevos fuegos, 4 extinguidos
2025-07-01 11:29:45,453 - Rank 0 - daniel - Paso 13: 3 nuevos fuegos, 4 extinguidos
2025-07-01 11:29:48,727 - Rank 0 - daniel - Paso 14: 4 nuevos fuegos, 5 extinguidos
2025-07-01 11:29:54,196 - Rank 0 - daniel - Paso 15: 6 nuevos fuegos, 8 extinguidos
2025-07-01 11:30:00,742 - Rank 0 - daniel - Paso 16: 4 nuevos fuegos, 4 extinguidos
2025-07-01 11:30:07,786 - Rank 0 - daniel - Paso 17: 1 nuevos fuegos, 4 extinguidos
2025-07-01 11:30:13,933 - Rank 0 - daniel - Paso 18: 3 nuevos fuegos, 3 extinguidos
2025-07-01 11:30:20,385 - Rank 0 - daniel - Paso 19: 9 nuevos fuegos, 2 extinguidos
2025-07-01 11:30:27,113 - Rank 0 - daniel - Paso 20: 8 nuevos fuegos, 6 extinguidos
2025-07-01 11:30:33,975 - Rank 0 - daniel - Paso 21: 6 nuevos fuegos, 2 extinguidos
2025-07-01 11:30:40,508 - Rank 0 - daniel - Paso 22: 9 nuevos fuegos, 7 extinguidos
2025-07-01 11:30:46,900 - Rank 0 - daniel - Paso 23: 9 nuevos fuegos, 6 extinguidos
2025-07-01 11:30:53,174 - Rank 0 - daniel - Paso 24: 6 nuevos fuegos, 4 extinguidos
2025-07-01 11:30:59,402 - Rank 0 - daniel - Paso 25: 6 nuevos fuegos, 5 extinguidos
2025-07-01 11:31:05,758 - Rank 0 - daniel - Paso 26: 9 nuevos fuegos, 4 extinguidos
2025-07-01 11:31:11,815 - Rank 0 - daniel - Paso 27: 7 nuevos fuegos, 4 extinguidos
2025-07-01 11:31:17,731 - Rank 0 - daniel - Paso 28: 7 nuevos fuegos, 7 extinguidos
2025-07-01 11:31:23,786 - Rank 0 - daniel - Paso 29: 8 nuevos fuegos, 8 extinguidos
2025-07-01 11:31:29,850 - Rank 0 - daniel - Paso 30: 8 nuevos fuegos, 8 extinguidos
2025-07-01 11:31:35,956 - Rank 0 - daniel - Paso 31: 9 nuevos fuegos, 7 extinguidos
2025-07-01 11:31:42,109 - Rank 0 - daniel - Paso 32: 4 nuevos fuegos, 10 extinguidos
2025-07-01 11:31:48,434 - Rank 0 - daniel - Paso 33: 3 nuevos fuegos, 6 extinguidos
2025-07-01 11:31:54,772 - Rank 0 - daniel - Paso 34: 7 nuevos fuegos, 7 extinguidos
2025-07-01 11:32:00,857 - Rank 0 - daniel - Paso 35: 5 nuevos fuegos, 6 extinguidos
2025-07-01 11:32:07,241 - Rank 0 - daniel - Paso 36: 5 nuevos fuegos, 2 extinguidos
2025-07-01 11:32:13,536 - Rank 0 - daniel - Paso 37: 6 nuevos fuegos, 6 extinguidos
2025-07-01 11:32:19,776 - Rank 0 - daniel - Paso 38: 8 nuevos fuegos, 6 extinguidos
2025-07-01 11:32:26,020 - Rank 0 - daniel - Paso 39: 6 nuevos fuegos, 6 extinguidos
2025-07-01 11:32:32,167 - Rank 0 - daniel - Paso 40: 8 nuevos fuegos, 7 extinguidos
2025-07-01 11:32:39,366 - Rank 0 - daniel - Paso 41: 3 nuevos fuegos, 4 extinguidos
2025-07-01 11:32:46,151 - Rank 0 - daniel - Paso 42: 11 nuevos fuegos, 8 extinguidos
2025-07-01 11:32:52,967 - Rank 0 - daniel - Paso 43: 4 nuevos fuegos, 6 extinguidos
2025-07-01 11:32:59,827 - Rank 0 - daniel - Paso 44: 10 nuevos fuegos, 7 extinguidos
2025-07-01 11:33:06,207 - Rank 0 - daniel - Paso 45: 11 nuevos fuegos, 6 extinguidos
2025-07-01 11:33:13,005 - Rank 0 - daniel - Paso 46: 3 nuevos fuegos, 10 extinguidos
2025-07-01 11:33:19,331 - Rank 0 - daniel - Paso 47: 5 nuevos fuegos, 11 extinguidos
2025-07-01 11:33:26,793 - Rank 0 - daniel - Paso 48: 1 nuevos fuegos, 7 extinguidos
2025-07-01 11:33:29,920 - Rank 0 - daniel - Paso 49: 2 nuevos fuegos, 5 extinguidos
2025-07-01 11:33:33,183 - Rank 0 - daniel - Paso 50: 5 nuevos fuegos, 4 extinguidos
2025-07-01 11:33:36,319 - Rank 0 - daniel - Paso 51: 3 nuevos fuegos, 6 extinguidos
2025-07-01 11:33:39,659 - Rank 0 - daniel - Paso 52: 6 nuevos fuegos, 3 extinguidos
2025-07-01 11:33:42,948 - Rank 0 - daniel - Paso 53: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:33:46,224 - Rank 0 - daniel - Paso 54: 5 nuevos fuegos, 5 extinguidos
2025-07-01 11:33:49,268 - Rank 0 - daniel - Paso 55: 6 nuevos fuegos, 4 extinguidos
2025-07-01 11:33:52,234 - Rank 0 - daniel - Paso 56: 3 nuevos fuegos, 9 extinguidos
2025-07-01 11:33:55,291 - Rank 0 - daniel - Paso 57: 3 nuevos fuegos, 2 extinguidos
2025-07-01 11:33:58,215 - Rank 0 - daniel - Paso 58: 4 nuevos fuegos, 8 extinguidos
2025-07-01 11:34:00,898 - Rank 0 - daniel - Paso 59: 8 nuevos fuegos, 6 extinguidos
2025-07-01 11:34:03,948 - Rank 0 - daniel - Paso 60: 8 nuevos fuegos, 2 extinguidos
2025-07-01 11:34:07,039 - Rank 0 - daniel - Paso 61: 3 nuevos fuegos, 5 extinguidos
2025-07-01 11:34:10,622 - Rank 0 - daniel - Paso 62: 3 nuevos fuegos, 3 extinguidos
2025-07-01 11:34:13,831 - Rank 0 - daniel - Paso 63: 4 nuevos fuegos, 5 extinguidos
2025-07-01 11:34:20,004 - Rank 0 - daniel - Paso 64: 4 nuevos fuegos, 3 extinguidos
2025-07-01 11:34:27,391 - Rank 0 - daniel - Paso 65: 5 nuevos fuegos, 2 extinguidos
2025-07-01 11:34:33,384 - Rank 0 - daniel - Paso 66: 8 nuevos fuegos, 8 extinguidos
2025-07-01 11:34:39,306 - Rank 0 - daniel - Paso 67: 9 nuevos fuegos, 3 extinguidos
2025-07-01 11:34:45,304 - Rank 0 - daniel - Paso 68: 7 nuevos fuegos, 9 extinguidos
2025-07-01 11:34:52,526 - Rank 0 - daniel - Paso 69: 10 nuevos fuegos, 3 extinguidos
2025-07-01 11:34:58,401 - Rank 0 - daniel - Paso 70: 8 nuevos fuegos, 7 extinguidos
2025-07-01 11:35:04,430 - Rank 0 - daniel - Paso 71: 10 nuevos fuegos, 8 extinguidos
2025-07-01 11:35:10,674 - Rank 0 - daniel - Paso 72: 6 nuevos fuegos, 3 extinguidos
2025-07-01 11:35:16,796 - Rank 0 - daniel - Paso 73: 8 nuevos fuegos, 6 extinguidos
2025-07-01 11:35:22,988 - Rank 0 - daniel - Paso 74: 7 nuevos fuegos, 8 extinguidos
2025-07-01 11:35:29,299 - Rank 0 - daniel - Paso 75: 12 nuevos fuegos, 5 extinguidos
2025-07-01 11:35:35,255 - Rank 0 - daniel - Paso 76: 14 nuevos fuegos, 5 extinguidos
2025-07-01 11:35:41,358 - Rank 0 - daniel - Paso 77: 10 nuevos fuegos, 10 extinguidos
2025-07-01 11:35:47,292 - Rank 0 - daniel - Paso 78: 7 nuevos fuegos, 11 extinguidos
2025-07-01 11:35:53,224 - Rank 0 - daniel - Paso 79: 5 nuevos fuegos, 8 extinguidos
2025-07-01 11:35:59,323 - Rank 0 - daniel - Paso 80: 3 nuevos fuegos, 10 extinguidos
2025-07-01 11:36:05,395 - Rank 0 - daniel - Paso 81: 5 nuevos fuegos, 7 extinguidos
2025-07-01 11:36:11,236 - Rank 0 - daniel - Paso 82: 2 nuevos fuegos, 4 extinguidos
2025-07-01 11:36:16,962 - Rank 0 - daniel - Paso 83: 5 nuevos fuegos, 4 extinguidos
2025-07-01 11:36:23,361 - Rank 0 - daniel - Paso 84: 6 nuevos fuegos, 4 extinguidos
2025-07-01 11:36:29,360 - Rank 0 - daniel - Paso 85: 4 nuevos fuegos, 5 extinguidos
2025-07-01 11:36:35,438 - Rank 0 - daniel - Paso 86: 2 nuevos fuegos, 8 extinguidos
2025-07-01 11:36:41,595 - Rank 0 - daniel - Paso 87: 6 nuevos fuegos, 5 extinguidos
2025-07-01 11:36:47,412 - Rank 0 - daniel - Paso 88: 1 nuevos fuegos, 8 extinguidos
2025-07-01 11:36:53,309 - Rank 0 - daniel - Paso 89: 7 nuevos fuegos, 3 extinguidos
2025-07-01 11:36:59,278 - Rank 0 - daniel - Paso 90: 5 nuevos fuegos, 3 extinguidos
2025-07-01 11:37:05,308 - Rank 0 - daniel - Paso 91: 8 nuevos fuegos, 8 extinguidos
2025-07-01 11:37:11,415 - Rank 0 - daniel - Paso 92: 5 nuevos fuegos, 8 extinguidos
2025-07-01 11:37:17,219 - Rank 0 - daniel - Paso 93: 4 nuevos fuegos, 6 extinguidos
2025-07-01 11:37:23,094 - Rank 0 - daniel - Paso 94: 1 nuevos fuegos, 7 extinguidos
2025-07-01 11:37:28,938 - Rank 0 - daniel - Paso 95: 4 nuevos fuegos, 5 extinguidos
2025-07-01 11:37:34,874 - Rank 0 - daniel - Paso 96: 2 nuevos fuegos, 5 extinguidos
2025-07-01 11:37:41,045 - Rank 0 - daniel - Paso 97: 2 nuevos fuegos, 5 extinguidos
2025-07-01 11:37:47,274 - Rank 0 - daniel - Paso 98: 2 nuevos fuegos, 4 extinguidos
2025-07-01 11:37:53,188 - Rank 0 - daniel - Paso 99: 2 nuevos fuegos, 7 extinguidos
2025-07-01 11:37:59,073 - Rank 0 - daniel - Paso 100: 1 nuevos fuegos, 7 extinguidos
2025-07-01 11:38:05,223 - Rank 0 - daniel - Paso 101: 2 nuevos fuegos, 2 extinguidos
2025-07-01 11:38:11,058 - Rank 0 - daniel - Paso 102: 1 nuevos fuegos, 3 extinguidos
2025-07-01 11:38:16,905 - Rank 0 - daniel - Paso 103: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:38:22,994 - Rank 0 - daniel - Paso 104: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:38:28,980 - Rank 0 - daniel - Paso 105: 1 nuevos fuegos, 4 extinguidos
2025-07-01 11:38:35,057 - Rank 0 - daniel - Paso 106: 4 nuevos fuegos, 5 extinguidos
2025-07-01 11:38:40,845 - Rank 0 - daniel - Paso 107: 1 nuevos fuegos, 4 extinguidos
2025-07-01 11:38:46,842 - Rank 0 - daniel - Paso 108: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:38:52,772 - Rank 0 - daniel - Paso 109: 1 nuevos fuegos, 3 extinguidos
2025-07-01 11:38:58,583 - Rank 0 - daniel - Paso 110: 1 nuevos fuegos, 3 extinguidos
2025-07-01 11:39:04,656 - Rank 0 - daniel - Paso 111: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:39:10,824 - Rank 0 - daniel - Paso 112: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:39:16,850 - Rank 0 - daniel - Paso 113: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:39:22,987 - Rank 0 - daniel - Paso 114: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:39:29,206 - Rank 0 - daniel - Paso 115: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:39:35,296 - Rank 0 - daniel - Paso 116: 1 nuevos fuegos, 3 extinguidos
2025-07-01 11:39:41,435 - Rank 0 - daniel - Paso 117: 2 nuevos fuegos, 2 extinguidos
2025-07-01 11:39:47,660 - Rank 0 - daniel - Paso 118: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:39:53,704 - Rank 0 - daniel - Paso 119: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:39:59,893 - Rank 0 - daniel - Paso 120: 1 nuevos fuegos, 0 extinguidos
2025-07-01 11:40:06,317 - Rank 0 - daniel - Paso 121: 3 nuevos fuegos, 2 extinguidos
2025-07-01 11:40:12,605 - Rank 0 - daniel - Paso 122: 0 nuevos fuegos, 3 extinguidos
2025-07-01 11:40:19,043 - Rank 0 - daniel - Paso 123: 1 nuevos fuegos, 0 extinguidos
2025-07-01 11:40:25,039 - Rank 0 - daniel - Paso 124: 1 nuevos fuegos, 4 extinguidos
2025-07-01 11:40:31,139 - Rank 0 - daniel - Paso 125: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:40:43,258 - Rank 0 - daniel - Paso 127: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:40:49,577 - Rank 0 - daniel - Paso 128: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:40:56,015 - Rank 0 - daniel - Paso 129: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:41:02,622 - Rank 0 - daniel - Paso 130: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:41:09,131 - Rank 0 - daniel - Paso 131: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:41:15,507 - Rank 0 - daniel - Paso 132: 1 nuevos fuegos, 0 extinguidos
2025-07-01 11:41:21,692 - Rank 0 - daniel - Paso 133: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:41:27,897 - Rank 0 - daniel - Paso 134: 0 nuevos fuegos, 2 extinguidos
2025-07-01 11:41:34,046 - Rank 0 - daniel - Paso 135: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:41:40,533 - Rank 0 - daniel - Paso 136: 0 nuevos fuegos, 3 extinguidos
2025-07-01 11:41:47,092 - Rank 0 - daniel - Paso 137: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:41:59,973 - Rank 0 - daniel - Paso 139: 2 nuevos fuegos, 0 extinguidos
2025-07-01 11:42:06,055 - Rank 0 - daniel - Paso 140: 0 nuevos fuegos, 1 extinguidos
2025-07-01 11:42:08,982 - Rank 0 - daniel - Paso 141: 0 nuevos fuegos, 1 extinguidos
